Node1,Node2,Node3,Node4,Weight1,Weight2,Weight3
2077,1810,4291,4519,5,4,5
4816,1731,2942,1612,5,4,2
1562,1386,7,155,2,6,4
4116,3735,4172,3820,7,1,4
2296,2392,2642,3630,5,2,8
4993,3880,4172,4107,2,4,10
149,1396,1565,25,2,6,5
2040,1386,1,823,5,8,3
4291,57,4,45,4,2,6
4694,4291,4172,2012,6,8,3
10,41,257,369,8,2,4
1,1396,1316,1,4,8,7
1317,592,1018,4248,3,4,5
1815,1334,361,3769,3,10,7
17,1,4,19,9,10,6
4291,2296,1885,1018,6,1,4
2680,905,1018,4235,10,6,2
1487,1201,1386,7,4,9,6
2303,905,3719,4283,5,10,3
3615,2897,2125,1953,10,7,2
41,4291,1018,2763,2,6,7
1383,425,1352,3262,9,3,2
1334,3649,2942,3630,2,4,7
1771,1731,1018,230,2,7,10
486,1,61,109,10,5,10
3397,13,2214,2344,5,6,2
88,7,361,3769,3,2,7
353,4172,4402,2642,9,1,4
2728,2028,1,1566,5,7,2
1052,1,1217,775,4,1,9
1810,1,7,153,4,9,2
4845,4172,4291,5442,4,8,5
192,1,1541,25,6,3,10
4614,4197,1018,3219,1,5,9
2176,2725,2647,4779,6,7,1
2045,2063,2028,2178,5,8,2
1383,1316,304,905,9,1,10
2942,905,4172,2404,2,10,4
1201,1566,1396,1566,8,3,8
257,228,60,1,5,2,7
3465,2125,1,3,3,5,6
2822,1735,1352,3707,4,6,4
1487,1316,1,197,3,7,8
5227,215,202,638,3,6,2
3302,2642,2780,2784,6,3,4
2063,4197,3429,2642,7,2,5
4635,4499,4291,5368,6,2,3
4297,2167,4172,3630,5,10,7
2176,1334,361,3769,1,10,7
2318,304,905,4238,6,10,1
4631,2942,2028,3013,8,4,3
2642,3719,4291,4921,4,6,5
3278,1810,4291,5904,9,4,3
2081,2063,2028,2725,2,8,9
3897,1565,3470,5602,6,1,8
113,7,579,1,8,4,2
1971,3642,1810,1754,4,10,2
4694,3897,4291,2296,4,10,6
1810,592,202,427,5,6,4
1565,1396,13,1044,6,3,6
1352,1,1615,1686,10,9,5
1018,2642,3429,2835,7,5,7
935,7,57,4833,10,4,5
1366,1316,425,1201,3,8,10
2230,4172,4304,4172,3,5,10
2942,2028,1,635,4,7,3
6,1810,3714,2642,3,4,7
2642,3630,905,1316,8,2,10
3311,2296,1810,5227,7,10,3
3465,57,7,6,4,8,3
2069,1690,1,8,4,10,7
3185,2028,13,1921,3,7,5
3395,2642,2397,4287,8,3,4
1334,1317,1386,1396,6,5,6
1810,3897,905,1403,8,10,1
5636,1,7,129,10,9,4
921,1396,304,2198,4,2,10
304,1899,7,171,10,6,4
4895,35,1383,1201,5,1,9
1201,1396,4291,25,9,3,5
3204,1565,1396,1566,1,6,8
418,489,468,1366,9,1,5
13,353,1,1566,6,10,2
1967,2067,2642,3887,1,7,6
57,1,1615,5093,7,9,1
2135,905,7,215,4,2,5
1566,1386,1334,3719,10,1,8
1675,2067,2388,35,6,3,9
729,1731,1899,1204,4,2,8
5904,4291,2296,2392,5,6,5
4172,3649,1018,3198,4,5,4
2726,35,1383,1,10,1,9
13,1204,2028,3032,2,10,6
2040,2625,1810,135,6,3,5
2472,2642,3719,5299,3,4,10
2028,1,1386,309,7,5,3
2725,1731,2067,3451,9,10,3
3746,5403,3714,4291,4,2,7
2483,1615,1,33,1,9,7
3113,2625,1810,1765,5,3,8
2,1,135,1386,8,4,7
1565,1386,1352,1201,7,5,6
60,1,7,551,7,9,2
1352,1201,1487,304,6,4,2
1267,546,2388,1363,10,2,9
2388,35,1478,2040,9,1,8
1774,1752,1,19,8,1,6
5508,1,1053,1094,7,2,4
4176,1018,4172,3837,4,7,4
1316,1,353,1,7,5,10
2934,4172,1953,3074,8,7,2
1612,1383,1317,425,5,7,6
1052,1,7,1,4,9,7
2159,905,2045,33,4,3,9
1352,1,7,116,10,9,2
1348,1383,1386,1566,1,9,8
3107,2625,3223,3246,2,8,10
425,1386,1,64,9,8,3
2436,1201,1352,635,7,6,2
1743,3219,2028,2784,8,3,7
353,4172,1953,2860,9,7,1
41,1317,425,1,2,6,10
1690,1,1615,1948,10,9,8
3219,1018,4291,3013,9,6,1
1896,2028,1018,2291,1,8,6
2821,2028,2642,3415,10,5,4
309,1316,1201,2436,2,8,7
3892,4172,2642,3136,7,8,5
1529,1201,1,144,4,10,5
1615,1,1386,545,9,5,2
3897,3828,3451,4197,7,6,4
2897,3366,1948,1185,3,10,5
1615,1,729,135,9,2,5
1222,1383,1565,1316,2,5,7
1815,905,1334,1832,6,5,9
4172,1953,2635,3260,7,8,10
2688,2028,1,21,10,7,6
3278,3897,4291,3630,5,10,2
4258,3828,4172,4281,2,5,6
411,29,1,60,5,4,8
57,1810,1316,1201,6,3,8
5636,1,2,4,10,8,5
1,57,1396,921,6,5,4
3543,2642,353,1366,4,3,7
361,4291,2296,905,3,6,7
4301,4172,1555,4172,5,8,10
4291,3649,4172,3878,8,6,2
3649,1018,1731,2125,5,6,3
2054,1566,1201,4356,5,8,5
2318,304,1810,2296,6,2,7
823,1,1620,1939,10,4,6
4172,3649,33,2045,4,5,9
1334,1832,2214,1953,9,2,3
2067,2388,35,2484,3,9,4
2942,1018,2642,3395,10,7,4
4107,2045,4172,3630,10,3,7
266,60,1,39,5,7,8
353,1396,1201,1363,2,9,8
4559,353,4172,4266,2,9,7
361,1815,905,3897,1,6,10
2441,2028,1,7,1,7,9
5,1,7,1,3,9,7
3308,3219,1018,1731,8,9,6
4172,2642,1731,729,8,5,4
2144,1764,5612,5642,8,2,5
2643,2642,1565,1316,5,3,7
1565,135,1386,425,5,7,9
2642,3714,3897,3630,6,1,9
2136,4694,1731,1334,5,6,8
5609,4649,5309,5296,9,7,3
2028,1,7,579,7,9,4
5664,2397,7,351,7,6,3
1743,143,1,2,8,5,8
1383,1386,1396,135,9,6,4
2176,2725,1565,135,6,4,5
3981,4172,446,1670,6,1,7
2174,2388,35,1938,2,9,4
2296,905,1316,1565,7,10,5
3903,1352,4,19,10,3,6
1317,1352,1,1615,5,10,9
1201,1566,2028,1899,8,1,7
1317,1,1352,1386,7,3,5
1675,13,353,1,3,6,10
1656,1,64,104,9,3,10
41,7,1318,1656,9,2,10
3397,1363,1656,1185,10,3,8
1984,1,33,4291,10,7,3
1719,905,1953,2914,8,10,2
1316,425,1,534,8,10,5
2625,1018,3219,3656,3,9,6
2682,2028,1334,1396,5,9,4
3493,2897,2125,2349,2,7,8
3311,2028,2125,2124,3,8,4
3704,2942,3161,1018,10,4,8
1018,2642,700,553,7,4,5
7,60,257,425,5,10,6
3630,2942,1018,4172,7,10,7
7,23,1,41,4,7,8
257,224,2125,2396,5,9,2
1591,905,1565,3572,4,6,3
2176,13,2214,2028,5,6,10
5963,2045,2194,1948,10,2,6
1316,1366,2725,2296,8,2,6
3257,2028,1731,1832,5,7,3
547,882,1383,1846,6,4,7
6,1,1615,4331,8,9,2
4281,4172,1555,4172,10,8,10
4532,4694,1334,1555,4,10,4
4172,57,7,155,6,8,4
3389,2642,4172,3465,9,8,5
626,540,4172,4281,10,5,6
4315,2167,4172,2642,6,10,8
3161,2028,2725,2848,3,9,5
1,7,2028,2067,9,3,7
465,882,1386,1201,8,3,10
2642,4172,1953,304,8,7,8
3828,4172,2942,3630,5,4,7
2672,2067,4172,4518,9,6,5
3276,2642,3630,4172,10,8,3
3452,3804,4291,3649,7,1,8
1018,2642,4379,2642,7,2,6
2684,1810,1,17,3,4,9
3345,4291,3714,4291,5,6,7
2095,1585,1,6,3,9,8
2123,1,1656,1,3,6,9
278,60,7,21,4,7,5
3897,3828,4499,4649,7,3,8
3875,4197,3719,2642,9,3,4
57,4172,1953,2781,6,7,5
1,19,7,36,6,9,3
3714,4291,3897,2067,7,10,2
2252,1,1396,1386,2,4,8
832,2,1,1615,3,8,9
2409,2028,1899,1204,10,7,8
1565,4291,4172,2934,5,8,6
1396,1201,1,579,9,10,1
492,2045,33,3649,2,9,6
1201,1396,1,729,9,8,2
2491,2028,2725,2296,7,9,6
4382,3897,4291,3719,3,10,6
4252,4172,2635,2647,4,7,10
2296,905,4415,4559,7,1,9
2124,1,7,1525,6,9,4
3511,2642,3219,3214,10,5,8
2028,2125,1,21,8,5,6
5353,4172,2642,2315,10,8,4
4283,2642,1018,4291,4,8,6
1566,1201,1396,1,8,9,8
3649,4291,4197,4291,8,7,5
113,7,4,2,8,4,6
2249,2028,1860,1,4,6,10
3219,1018,4291,2388,9,6,3
4291,2296,353,134,6,2,10
3374,2642,1018,3161,7,8,7
5411,4649,3429,3649,10,7,10
2291,1018,2642,3650,6,7,3
3219,1018,2763,2127,9,7,10
71,1,1953,2635,8,2,8
2636,2028,1,57,4,7,6
2231,1201,1396,1,5,9,8
13,10,6,2188,8,7,9
1316,1201,1396,13,8,9,3
144,202,215,1846,8,6,5
4524,2642,2942,4515,8,4,10
2725,2176,1204,2028,6,1,10
361,1565,1,4,5,4,10
2016,1585,1,1201,4,9,8
2070,823,1,1565,8,10,3
2725,2733,2028,546,9,2,4
1442,775,1437,35,2,9,10
1257,4,1201,2436,9,8,7
2767,35,1,10,7,1,7
1383,425,1,39,9,10,8
4631,2942,3161,1018,8,4,8
13,3397,1363,2,5,10,8
224,2125,1018,3355,9,3,6
125,1,60,7,5,8,7
1565,2725,1731,1018,5,9,7
4611,4833,5259,4320,9,2,9
4163,2067,4649,5309,10,2,7
2159,905,1719,1656,4,5,10
1396,1316,57,1810,8,3,6
5963,2045,2067,2045,10,6,7
4867,4197,4172,2934,5,4,6
705,104,363,4639,7,3,10
1656,1,1396,1,9,4,8
5403,4611,4291,4172,8,6,8
425,1317,905,1316,9,5,10
2692,1810,3897,905,4,8,10
1487,905,57,64,6,10,5
3744,23,1,61,10,7,5
1317,425,1386,1317,6,9,5
31,4,1,1615,2,10,9
5925,1,21,1,3,6,8
13,353,4172,4389,6,9,2
71,1,1396,4,8,4,5
60,1,57,3278,7,6,5
1396,1,23,113,8,6,4
193,7,41,1386,6,5,8
1383,7,60,242,9,5,6
4609,3837,4365,192,10,6,10
3707,1352,1713,1001,6,2,6
2880,2642,3828,3897,6,5,7
2470,1217,1437,2416,8,9,4
547,882,7,203,6,10,3
1899,1204,2028,2067,8,10,7
921,1396,1201,1366,4,9,5
4400,4172,353,1366,10,5,7
2565,4172,353,4172,3,5,9
5259,4320,2625,3223,9,2,8
3264,3366,2296,2763,9,10,2
4389,4172,2642,2610,4,8,4
1383,1386,7,29,9,6,2
823,1,1656,1185,10,6,8
3675,2642,2942,3630,7,4,7
3355,1018,2692,1810,6,7,4
19,1,1201,1352,9,8,6
3903,4172,1953,2635,6,7,8
1383,1566,1620,1386,10,3,10
3875,4197,3897,3828,9,1,7
1819,1810,4291,2498,9,4,10
3374,2642,3276,2642,7,2,10
224,2125,1,2142,9,5,3
283,7,1317,1,10,4,7
57,4172,4291,2498,6,8,10
1383,1,1363,2,9,6,8
2642,2110,2897,2625,6,7,6
2934,4172,2647,4172,8,5,10
3897,3630,2642,1788,9,10,4
241,1,1566,215,8,2,9
1555,1585,1,60,6,9,8
2398,1018,4291,2498,7,6,10
1899,1204,2028,1334,8,10,9
3976,4197,2942,3630,6,3,7
3429,3649,4291,4370,10,8,7
57,1,80,81,7,2,8
1201,1386,41,10,9,5,4
1562,35,1386,425,6,2,9
1386,425,1396,1566,9,7,8
1771,1860,1,10,9,10,7
1,1317,1201,1386,5,6,9
2692,1018,1201,2436,7,2,7
21,8,1,197,9,3,8
3278,1810,1,144,9,4,5
1499,1386,1201,1386,3,10,9
1385,882,1,7,10,5,9
3429,3897,3630,2642,5,9,10
3926,2642,1018,3219,5,8,9
1555,1585,1,33,6,9,7
1562,35,1217,3377,6,4,10
3219,1018,4172,4365,9,7,5
2388,3545,732,2176,6,2,8
486,1,7,725,10,9,3
3374,2642,3719,5299,7,4,10
425,1201,1566,1657,10,8,6
13,2176,2725,2647,4,6,7
3389,2642,13,2214,9,1,6
3302,2642,3598,4017,6,8,5
540,2028,1334,1317,10,9,6
2821,2028,2725,2018,10,9,7
1317,1,60,224,7,8,4
1352,1201,1,8,6,10,7
1565,1386,41,1386,7,5,8
1,60,7,243,8,7,4
1257,4,202,592,9,8,4
2296,905,4172,2125,7,10,8
2296,1810,1,7,10,4,9
1448,1383,1201,1243,5,9,5
425,1396,1201,729,7,9,3
135,1386,1,57,7,8,6
2318,2045,1565,57,6,4,8
592,1810,1967,5790,5,4,9
1615,1,1396,882,9,4,6
3601,2028,1,1615,3,7,9
1529,1201,1,1615,4,10,9
4694,4833,905,1565,7,3,6
1615,1,1316,1,9,5,7
4553,4197,4172,4281,6,4,6
1629,1383,425,1201,10,9,10
2019,1810,1334,1832,10,3,9
2214,2028,1,17,10,7,9
5989,3598,2642,3585,7,10,4
4365,4172,57,1363,7,6,7
1565,57,3278,57,8,5,9
2249,2028,1334,4659,4,9,10
481,1810,3897,1565,6,8,6
1,178,1396,1201,7,3,9
2725,2296,1810,3327,6,10,4
4141,2647,4172,4360,9,10,5
19,7,2,39,9,5,8
579,7,1,1615,6,7,9
4365,4694,3714,4291,7,3,7
3695,3669,1810,2296,9,2,7
5655,1953,1201,4144,9,3,9
1316,1,7,132,7,9,5
1565,1656,1,21,5,9,6
3649,4172,1555,1386,6,8,7
1846,29,1,197,7,4,8
4852,353,4172,4266,7,9,7
4172,4291,2642,3389,8,1,9
4,2,1,7,6,8,9
4291,4172,1953,5404,8,7,10
353,1,1620,2200,10,4,10
592,202,60,257,6,5,10
3707,1352,1,1656,6,10,6
2725,1731,1018,2291,9,7,6
4172,2642,4611,4833,8,3,9
2187,215,1566,215,4,8,9
5317,1352,1,23,7,10,6
2067,2045,4291,2296,7,4,6
2672,2067,3897,1565,9,2,6
1911,1810,1,7,7,4,9
1396,425,1,17,7,10,9
1953,4172,353,4852,8,5,7
1316,1396,1565,1386,8,6,7
57,1810,1967,5790,6,4,9
1396,1201,4,1,9,8,10
823,1,6,2188,10,8,9
775,1437,1217,775,9,1,9
1316,1,21,1,7,6,8
4,19,1,1656,6,9,6
4116,2625,2040,1690,7,6,9
2665,1948,1615,1201,8,10,4
1478,2040,1690,1,8,9,10
519,60,242,2758,4,6,9
1701,1860,1,60,8,10,8
3308,3219,2725,2835,8,4,9
1383,1201,1860,2028,9,4,7
6,1,33,3649,8,7,6
4649,4499,4635,4499,8,10,6
1354,775,1217,35,8,9,5
1383,425,1396,309,9,7,4
135,1386,425,1,7,9,10
1383,7,1,1615,9,7,9
19,1,1201,1386,9,8,9
257,425,1,17,6,10,9
2028,1018,2942,1018,8,6,10
4291,4611,4833,4694,7,9,8
5636,1,21,8,10,6,9
3389,2642,3714,4291,9,6,7
60,1,1386,425,7,5,9
1771,1860,1201,1396,9,4,9
4,19,1,4,6,9,10
1,41,7,1,8,9,7
17,1,1656,1,9,6,9
4590,3744,1967,3876,9,10,9
1,10,21,8,7,8,9
178,1,21,8,8,6,9
4698,4635,4499,4400,9,6,10
41,7,19,7,9,5,9
